"seq","Hash","string"
"593","123ac6ec","This Seadramon-type from the extremes of
Folder Continent Digivolved to survive the
dog-eat-dog Digital World."
"594","523759d5","An insectoid Digimon Digivolved from
Kuwagamon. Has better defenses in places
and more precise scissor attacks."
"605","3204b50f","An android Digimon Digivolved from a
data-type Growlmon. The restraint on
its jaw keeps it under control."
"606","720758a6","A Perfect android Digimon. Its virus-
type nature runs deep. It is called
the Black Destructor."
"607","deafebdc","Compared to normal Rapidmon, it has a
gold shine. Its power goes to Ultimate level."
"609","9eb40442","Versed in Tao, this Master Digimon will
fight using all techniques. It's skilled
in assassinations, unlike Taomon."
"611","dea55e38","A Perfect Digimon like a long-legged
spider. It can get into any network,
regardless of security."
"612","9ea2bb61","A mysterious Digimon that suddenly
appeared. Calls itself the King of
Digimon. Powers exceed the imagination."
"619","c8ec6edf","Armored in the ultra-metallic Chrome
Digizoid, this mighty dragon warrior is
the ultimate form of the Greymon type."
"621","88e78ca9","The ultimate Garurumon, with increased
power from his metallized body. It's
mentally alert as well."
"623","c8f6fc73","A Digimon with four golden wings.
Leads all the bird Digimon and is said
to control the holy Digimon too."
"643","63625fe5","A strange and mysterious wizard
Digimon. Unlike demon and undead types,
the reason for its existence is unknown."
"644","a3698062","The ultimate form of Lucemon. A
dragon of the Apocalypse. Has ""Gehenna""
balls of darkness that absorb attacks."
"645","a367410b","The red-rusted Ultimate form of Tyrannomon,
which has been fighting and Digivolving
since the dawn of the Digital World."
"652","36ba312f","King of all the Knightmon and a holy
knight Digimon. Member of the Royal
Knights. Has no mercy for the weak."
"660","7c848b9c","An evil king Digimon sealed deep within
the Dark Area. Put into sleep to seal
its massive power."
"661","7c824d05","An evil king Digimon akin to a bearded
old man. One of the Seven Deadly
Digimon and is very cruel and avaricious."
"662","3c7faa6e","A member of the Royal Knights, the holy
guardians of the Digital World. A
holy knight Digimon with massive data."
"665","3c78ee21","A member of the Royal Knights, the holy
guardians of the Digital World. A
beast-like holy knight Digimon."
"667","7c7342b3","Feared as the Jet Black Dragon Warrior, it
is a virus-type WarGreymon. Exists for
justice and hates the low and cowardly."
"670","ff7cf1b","A deity Digimon, said to be a long-
lived fox that took on human form.
Skilled in various ancient magics."
"675","cff0ae9e","Powerful ancient dragon Digimon from
ages past. Its existence and powers
are a level above other Digimon."
"678","16a64dd4","A member of the holy Royal Knights.
Serves its master with the same brand
of justice, even if evil."
"680","56ab2ffa","Sukamon's ruler. Mysterious, in that it
has both a giant body and the power
to make any Digimon a Sukamon."
"683","5699e619","A holy knight Digimon. Digivolved to an
extreme form of Hackmon through
practice and ordeals. A Royal Knight."
"693","8702640c","The ultimate form of Imperialdramon,
with power from the holy knight
Omegamon. Now a legendary holy knight."
"701","b385c1a1","Hidden form of Gallantmon. Wrapped in
crimson fire armor, which is red-hot
from the release of power."
"837","584c9e16","Bubbles"
"839","eaea3cf5","Blue Blaster"
"852","e9ea3b01","Fox Arrows"
"884","e6ea364c","Blue Blaster"
"899","ee6400c","Fox Fire"
"907","be63bb3","Fist of the Supreme King"
"923","ce63d2a","Iceball Bomb"
"933","11e644cb","Blazing Spheres"
"940","12e646b3","Frost Claw"
"978","8bbad61c","Eradication Gears"
"979","8bbad613","Eradication Attack"
"1003","90bade38","Demon's Gate"
"1010","90bade33","Pyro Punch"
"1018","30b7a486","Seven Heavens"
"1029","31b7a674","Kongoukai Mandala"
"1083","af4f0aea","Garuru Cannon/Grey Sword"
"1084","af4f0ae9","Garuru Cannon/Grey Sword"
"1090","af4f0ae3","Garuru Cannon/Grey Sword"
"1092","ae4f0978","Grey Cannon/Garuru Sword"
"1096","ae4f097c","Garuru Cannon/Grey Sword"
"1184","3208e41","Spews a hot breath of flames at enemies in front."
"1187","c32cf53c","Enflames the hearts of allies, massively boosting their strength."
"1189","331d722","Rains bolts of lava from the sky."
"1190","32f98cb","Raises a storm of flames, dealing huge damage to a wide range of enemies."
"1197","21f017c9","Raises a powerful blizzard of water and ice, dealing huge damage to a wide range of enemies."
"1199","b4bff25f","Sends a pleasing wind to the feet of you and your allies, massively increasing speed."
"1201","74c59dcd","Attacks with strikes of lightning from thunderclouds gathered over the target's head."
"1202","74c7dc24","Sends a powerful wind to the feet of you and your allies, increasing speed to unparalleled levels."
"1203","b4ca7ff3","Shoots lightning from all directions, dealing huge damage to a wide range of enemies."
"1204","74cc590a","Raises a powerful hurricane, dealing huge damage to a wide range of enemies."
"1206","72dee5cd","Wraps you and your allies in stone, greatly increasing stamina."
"1210","72d45829","Wraps you and your allies in stone, massively increasing stamina."
"1211","72d69680","Brings forth a tornado of poisonous mist, dealing huge damage to a wide range of enemies."
"1214","3e600011","Brings forth an eye of darkness, damaging the enemy while granting wisdom to the attacker."
"1218","3e68fab5","Brings forth powerful dark energy, dealing huge damage to a wide range of enemies."
"1220","41a16b7e","Attack that drops a column of light on the target's head while greatly increasing attacker's stamina."
"1221","19ec7a7","Massively increases the stamina and speed of allies."
"1223","41a3a9d5","Deals damage to area around target with a dome of light while greatly increasing attacker's stamina."
"1224","41abf812","Attacks enemies with an extra powerful laser of judgment that greatly increases attacker's stamina briefly."
"1225","1a9557b","Fills the surrounding area with light energy, dealing huge damage to enemies while greatly increasing attacker's stamina briefly."
"1227","28b0a82b","Swells the muscular power of you and your allies, greatly increasing strength and stamina."
"1232","28a859ee","Deals huge damage to a wide range of enemies with an explosion of fighting spirit, massively boosting attacker's strength."
"1234","702e0eb0","Increases the strength and stamina of you and your allies."
"1243","9a6c9de4","Using the power of poop, deploys a barrier which surrounds and damages enemies."
"1245","9a72adca","Drops mounds of poop on the target from above."
"1246","da6f40b3","Detonates a wide range of poop bombs, dealing heavy damage to those caught in the blast."
"1247","95efe223","Launches acid bubbles at enemies."
"1256","d41f8a3b","Knock enemies over with a dash and
powerful headbutt."
"1263","a635aa1f","Lashes out and damages enemies while rotating towards them."
"1310","b615a602","""Spiral Blow"" launches a powerful
whirlwind attack from the mouth."
"1323","b056e908","Slam dunks big poops on enemies."
"1356","23df973b","Tosses hard, sparkly metallic poop at
enemies."
"1414","c5fe8f88","Forms a dark icicle from its horn
that grows rapidly to pierce foes."
"1419","c5ed46af","In a fit of rage, tears a cross mark
into the opponent with razor-sharp claws."
"1449","42176f60","Rotates guns forward to fire
massive electromagnetic shells."
"1528","e5f0299b","Agitated: Gradually recover HP"
"1529","e5f0299a","Agitated: Increase max HP + recover half"
"1530","e5f02999","Agitated: Lower HP; greatly boost attack"
"1531","ae887d6e","Agitated: Gradually recover MP"
"1532","ae887d6f","Agitated: Increase max MP + recover half"
"1533","ae887d6c","Agitated: Take damage from MP instead of HP"
"1535","51c1620d","Agitated: Max strength, gradual return to normal"
"1537","8615ee65","Agitated: Max stamina, gradual return to normal"
"1539","c94cbfcf","Agitated: Max speed, gradual return to normal"
"1541","5f5d381c","Agitated: Max wisdom, gradual return to normal"
"1542","dc222f13","Agitated: Increase max attack + recover half MP, HP"
"1544","758b809e","Gradually recovers HP"
"1545","b5881447","Increases max HP + recovers half"
"1546","758570a8","Lowers HP; greatly boosts attack"
"1547","3b9e544b","Gradually recovers MP"
"1548","3ba092a2","Increases max MP + recovers half"
"1549","fb997225","Takes damage from MP instead of HP"
"1550","1422ae05","Temporary strength increase"
"1551","1424ec9c","Maxes strength, gradually
returning to normal"
"1552","ee62152d","Temporary stamina increase"
"1553","ee645384","Maxes stamina, gradually returning
to normal"
"1554","27e846b","Temporary speed increase"
"1555","280c2c2","Maxes speed, gradually returning
to normal"
"1556","9934550c","Temporary wisdom increase"
"1557","5931b275","Maxes wisdom, gradually returning
to normal"
"1558","919a0ce6","Increases max attack + recovers
half MP, HP"
"1583","item_battle_025","Remedy Disk"
"1584","item_battle_026","Full Remedy Disk"
"1585","item_battle_027","Remedy Holo-Disk"
"1586","item_battle_028","Full Remedy Holo-Disk"
"1587","item_battle_029","Regen Disk"
"1588","item_battle_030","Super Regen Disk"
"1821","item_other_003","Bandage"
"1862","item_recover_001","Recovery Disk"
"1863","item_recover_002","Medium Recovery Disk"
"1864","item_recover_003","Large Recovery Disk"
"1865","item_recover_004","Super Recovery Disk"
"1866","item_recover_005","Large Recovery Holo-Disk"
"1867","item_recover_006","Super Recovery Holo-Disk"
"1870","item_recover_009","MP Disk"
"1871","item_recover_010","Medium MP Disk"
"1872","item_recover_011","Large MP Disk"
"1873","item_recover_012","Large MP Holo-Disk"
"1874","item_recover_013","Medium MP Disk"
"1876","item_recover_015","Double Disk"
"1877","item_recover_016","Large Double Disk"
"1878","item_recover_017","Super Double Disk"
"1879","item_recover_018","Super Double Holo-Disk"
"1920","item_food_019","Chained Melon"
"1922","item_food_021","Ripe Cherry"
"1938","item_food_037","Digishroom"
"1939","item_food_038","Green Digishroom"
"1941","item_food_040","Unlucky Mushroom"
"1950","item_food_049","Salty Nut"
"1951","item_food_050","Quick Nut"
"1952","item_food_051","Acrid Nut"
"1953","item_food_052","Rolly Nut"
"1954","item_food_053","Duty Nut"
"1955","item_food_054","Dozy Nut"
"1956","item_food_055","Az Nut"
"1957","item_food_056","Cobb Nut"
"1958","item_food_057","Oily Nut"
"2003","item_food_102","Volcano Veggie Stir-Fry"
"2086","item_food_185","Obscure Onion Stir-Fry"
"2087","item_food_186","Drizzle Cabbage Stir-Fry"
"2099","item_food_198","Baked Nutty Mushroom"
"2139","item_food_238","Meat and Veggie Stir-Fry"
"2168","item_food_267","Eggplant and Meat Stir-Fry"
"2175","item_food_274","Mushroom Stir-Fry"
"2356","5dfcffa7","When used on a Child, instantly Digivolves to Greymon."
"2357","9dfb2588","When used on a Child, instantly Digivolves to Garurumon."
"2358","9df8e731","When used on a Child, instantly Digivolves to Birdramon."
"2359","9e0a3012","When used on a Child, instantly Digivolves to Angemon."
"2360","5e078d7b","When used on a Child, instantly Digivolves to Kabuterimon."
"2361","5e054eec","When used on a Child, instantly Digivolves to Ikkakumon."
"2362","9e01e1d5","When used on a Child, instantly Digivolves to Togemon."
"2363","5debb6c6","When used on a Child, instantly Digivolves to Gatomon."
"2364","9de9dcaf","When used on a Child, instantly Digivolves to ExVeemon."
"2366","302d6338","When used on a Child, instantly Digivolves to Stingmon."
"2367","302fa197","When used on a Child, instantly Digivolves to Growlmon."
"2368","f0330eae","When used on a Child, instantly Digivolves to Gargomon."
"2369","3035b245","When used on a Child, instantly Digivolves to Turuiemon."
"2370","3037f0dc","When used on a Child, instantly Digivolves to Kyubimon."
"2371","f039caeb","When used on a Child, instantly Digivolves to GaoGamon."
"2373","f0173829","When used on a Child, instantly Digivolves to Wizardmon."
"2374","f0197680","When used on a Child, instantly Digivolves to Devimon."
"2375","36dfb340","When used on a Child, instantly Digivolves to Veedramon."
"2376","36dd74e9","When used on a Child, instantly Digivolves to Tyrannomon."
"2378","76e2561f","When used on a Child, instantly Digivolves to Ogremon."
"2379","36e8ade4","When used on a Child, instantly Digivolves to Leomon."
"2380","36e66e8d","When used on a Child, instantly Digivolves to Meramon."
"2382","76eb50b3","When used on a Child, instantly Digivolves to Vegiemon."
"2384","36f0fc21","When used on a Child, instantly Digivolves to Nanimon."
"2387","ca920b65","When used on a Child, instantly Digivolves to Seadramon."
"2388","ca9449fc","When used on a Child, instantly Digivolves to Kuwagamon."
"2389","ca8d8db7","When used on a Child, instantly Digivolves to Guardromon."
"2392","ca8b4f58","When used on a Child, instantly Digivolves to Woodmon."
"2393","ca830013","When used on a Child, instantly Digivolves to BomberNanimon."
"2394","a85a3aa","When used on a Child, instantly Digivolves to Icemon."
"2395","514be06a","When used on a Child, instantly Digivolves to Hyogamon."
"2396","11493cd3","When used on a Child, instantly Digivolves to Piddomon."
"2397","5145cf84","When used on a Child, instantly Digivolves to Kyubimon (Silver)."
"2398","5143912d","When used on a Child, instantly Digivolves to Gururumon."
"2399","1140ed96","When used on a Child, instantly Digivolves to Saberdramon."
"2400","113eaf3f","When used on a Child, instantly Digivolves to BlackGatomon."
"2402","513a9689","When used on a Child, instantly Digivolves to Fugamon."
"2403","515f67a2","When used on a Child, instantly Digivolves to Guardromon (Gold)."
"2404","515d294b","When used on a Child, instantly Digivolves to Youkomon."
"2405","a4b4311d","When used on a Child, instantly Digivolves to RedVeedramon."
"2406","e4b6d4b4","When used on a Child, instantly Digivolves to GoldVeedramon."
"2407","a4b8aec3","When used on a Child, instantly Digivolves to Growlmon (Orange)."
"2408","a4baed5a","When used on a Child, instantly Digivolves to Greymon (Blue)."
"2409","a4a9a479","When used on a Child, instantly Digivolves to Garurumon (Black)."
"2410","e4ac4710","When used on a Child, instantly Digivolves to RedVegiemon."
"2411","e4ae866f","When used on a Child, instantly Digivolves to IceDevimon."
"2412","a4b1f286","When used on a Child, instantly Digivolves to Sorcermon."
"2413","e4c81d95","When used on a Child, instantly Digivolves to Chrysalimon."
"2414","a4c9f7ac","When used on a Child, instantly Digivolves to Numemon."
"2415","2a7a73dc","When used on a Child, instantly Digivolves to Geremon."
"2416","2a783545","When used on a Child, instantly Digivolves to Sukamon."
"2417","ea7e8c42","When used on a Child, instantly Digivolves to PlatinumSukamon."
"2418","ea7c4deb","When used on a Child, instantly Digivolves to Arresterdramon."
"2419","2a6fe638","When used on an Adult, instantly Digivolves to OmegaShoutmon."
"2420","ea6d4361","When used on a Child, instantly Digivolves to Meicoomon."
"2421","ea7591ae","When used on an Adult, instantly Digivolves to MetalGreymon."
"2422","2a722497","When used on an Adult, instantly Digivolves to WereGarurumon."
"2423","ea668724","When used on an Adult, instantly Digivolves to Garudamon."
"2424","ea6448cd","When used on an Adult, instantly Digivolves to MagnaAngemon."
"2425","bde32987","When used on an Adult, instantly Digivolves to MegaKabuterimon."
"2426","7de503de","When used on an Adult, instantly Digivolves to Zudomon."
"2427","7dde4791","When used on an Adult, instantly Digivolves to Lillymon."
"2428","7de086e8","When used on an Adult, instantly Digivolves to Angewomon."
"2429","bdec245b","When used on an Adult, instantly Digivolves to Paildramon."
"2431","7de74235","When used on an Adult, instantly Digivolves to WarGrowlmon."
"2432","bde9e5cc","When used on an Adult, instantly Digivolves to Rapidmon."
"2433","7dcf3d0f","When used on an Adult, instantly Digivolves to Antylamon."
"2434","bdd1e0a6","When used on an Adult, instantly Digivolves to Taomon."
"2435","35dbd5b6","When used on an Adult, instantly Digivolves to MachGaogamon."
"2437","f5d6f380","When used on an Adult, instantly Digivolves to AeroVeedramon."
"2438","f5d4b529","When used on an Adult, instantly Digivolves to Myotismon."
"2439","f5e5fe0a","When used on an Adult, instantly Digivolves to LadyDevimon."
"2441","f5e18124","When used on an Adult, instantly Digivolves to Mamemon."
"2442","f5df42cd","When used on an Adult, instantly Digivolves to MetalMamemon."
"2444","35ed1e97","When used on an Adult, instantly Digivolves to Lucemon FM."
"2445","c9448b99","When used on an Adult, instantly Digivolves to MetalTyrannomon."
"2446","8947f8b0","When used on an Adult, instantly Digivolves to SkullGreymon."
"2447","894a370f","When used on an Adult, instantly Digivolves to Gigadramon."
"2448","c94cdaa6","When used on an Adult, instantly Digivolves to Megadramon."
"2449","c94f193d","When used on an Adult, instantly Digivolves to IceLeomon."
"2450","8950f354","When used on an Adult, instantly Digivolves to GrapLeomon."
"2453","89594191","When used on an Adult, instantly Digivolves to BlueMeramon."
"2456","40ac2ec6","When used on an Adult, instantly Digivolves to MegaSeadramon."
"2457","40a572b9","When used on an Adult, instantly Digivolves to Okuwamon."
"2458","80a81650","When used on an Adult, instantly Digivolves to Andromon."
"2459","40b47d03","When used on an Adult, instantly Digivolves to Digitamamon."
"2460","40b6bb9a","When used on an Adult, instantly Digivolves to ShogunGekomon."
"2462","80b110f4","When used on an Adult, instantly Digivolves to Datamon."
"2464","80c01b7e","When used on an Adult, instantly Digivolves to Meteormon."
"2465","ed419ec4","When used on an Adult, instantly Digivolves to MetalGreymon (Blue)."
"2466","ed3f606d","When used on an Adult, instantly Digivolves to WereGarurumon (Black)."
"2467","ed461baa","When used on an Adult, instantly Digivolves to MegaKabuterimon (Blue)."
"2468","ad437813","When used on an Adult, instantly Digivolves to WarGrowlmon (Orange)."
"2469","ed371120","When used on an Adult, instantly Digivolves to BlackWarGrowlmon."
"2470","ed34d2c9","When used on an Adult, instantly Digivolves to Rapidmon (Gold)."
"2471","ad3cbcd6","When used on an Adult, instantly Digivolves to Taomon (Silver)."
"2472","ad3a7e7f","When used on an Adult, instantly Digivolves to Doumon."
"2473","ad54c1fc","When used on an Adult, instantly Digivolves to WaruSeadramon."
"2474","ad528365","When used on an Adult, instantly Digivolves to Etemon."
"2475","668dd9a5","When used on an Adult, instantly Digivolves to Monzaemon."
"2476","6690183c","When used on an Adult, instantly Digivolves to Agunimon."
"2477","a692bbcb","When used on an Adult, instantly Digivolves to Infermon."
"2478","a694fa22","When used on an Adult, instantly Digivolves to Maycrackmon VM."
"2479","a683b141","When used on a Perfect, instantly Digivolves to WarGreymon."
"2480","66858a98","When used on a Perfect, instantly Digivolves to ShineGreymon."
"2481","6687c9f7","When used on a Perfect, instantly Digivolves to MetalGarurumon."
"2483","a67923ad","When used on a Perfect, instantly Digivolves to Phoenixmon."
"2484","a67b6204","When used on a Perfect, instantly Digivolves to Seraphimon."
"2485","d32523f2","When used on a Perfect, instantly Digivolves to HerculesKabuterimon."
"2486","1321b6db","When used on a Perfect, instantly Digivolves to Vikemon."
"2487","131f784c","When used on a Perfect, instantly Digivolves to Rosemon."
"2488","d31cd4b5","When used on a Perfect, instantly Digivolves to Magnadramon."
"2489","d31a965e","When used on a Perfect, instantly Digivolves to MarineAngemon."
"2490","1318bc07","When used on a Perfect, instantly Digivolves to Magnamon."
"2492","d313da11","When used on a Perfect, instantly Digivolves to Gallantmon."
"2493","13106dfa","When used on a Perfect, instantly Digivolves to SaintGargomon."
"2494","130e2f63","When used on a Perfect, instantly Digivolves to Cherubimon."
"2495","cc20e333","When used on a Perfect, instantly Digivolves to Sakuyamon."
"2496","8c24504a","When used on a Perfect, instantly Digivolves to MirageGaogamon."
"2498","8c1e4064","When used on a Perfect, instantly Digivolves to UlforceVeedramon."
"2499","cc17e89f","When used on a Perfect, instantly Digivolves to VenomMyotismon."
"2500","cc1a27f6","When used on a Perfect, instantly Digivolves to Lilithmon."
"2501","8c130769","When used on a Perfect, instantly Digivolves to Justimon."
"2503","8c35992b","When used on a Perfect, instantly Digivolves to Piedmon."
"2504","8c37d782","When used on a Perfect, instantly Digivolves to Lucemon SM."
"2505","39f561c8","When used on a Perfect, instantly Digivolves to RustTyranomon."
"2506","39f32371","When used on a Perfect, instantly Digivolves to Samudramon."
"2507","39fb71be","When used on a Perfect, instantly Digivolves to Machinedramon."
"2508","f9f8cee7","When used on a Perfect, instantly Digivolves to Beelzemon."
"2510","39fdb015","When used on a Perfect, instantly Digivolves to BanchoLeomon."
"2511","3a046c52","When used on a Perfect, instantly Digivolves to Leviamon."
"2512","fa01c8bb","When used on a Perfect, instantly Digivolves to LordKnightmon."
"2513","39e1d990","When used on a Perfect, instantly Digivolves to Boltmon."
"2514","f9df36f9","When used on a Perfect, instantly Digivolves to Creepymon."
"2517","b2f7fb7f","When used on a Perfect, instantly Digivolves to MetalSeadramon."
"2518","b2fa39d6","When used on a Perfect, instantly Digivolves to GranKuwagamon."
"2520","f2ff1bc4","When used on a Perfect, instantly Digivolves to Belphemon SM."
"2521","b300f513","When used on a Perfect, instantly Digivolves to Barbamon."
"2522","f30398aa","When used on a Perfect, instantly Digivolves to Examon."
"2523","f305d701","When used on a Perfect, instantly Digivolves to Titamon."
"2524","b3094458","When used on a Perfect, instantly Digivolves to Gankoomon."
"2525","5f8999e6","When used on a Perfect, instantly Digivolves to Kentaurosmon."
"2526","1f86f64f","When used on a Perfect, instantly Digivolves to Craniamon."
"2527","1f84b7f0","When used on a Perfect, instantly Digivolves to BlackWarGreymon."
"2528","5f82ddd9","When used on a Perfect, instantly Digivolves to MetalGarurumon (Black)."
"2529","5f9426ba","When used on a Perfect, instantly Digivolves to ChaosGallantmon."
"2530","5f91e823","When used on a Perfect, instantly Digivolves to Kuzuhamon."
"2531","1f8f4494","When used on a Perfect, instantly Digivolves to Diaboromon."
"2532","5f8bd87d","When used on a Perfect, instantly Digivolves to MetalEtemon."
"2533","1f9e4f1e","When used on a Perfect, instantly Digivolves to PlatinumNumemon."
"2534","5f9ae2c7","When used on a Perfect, instantly Digivolves to Ophanimon."
"2535","a79088b7","When used on a Perfect, instantly Digivolves to Imperialdramon DM."
"2537","e78add01","When used on a Perfect, instantly Digivolves to Leopardmon."
"2538","a78e4a58","When used on a Perfect, instantly Digivolves to Dynasmon."
"2539","e799e78b","When used on a Perfect, instantly Digivolves to Jijimon."
"2540","e79c26e2","When used on a Perfect, instantly Digivolves to Alphamon."
"2541","a7950665","When used on a Perfect, instantly Digivolves to Jesmon."
"2542","a79744fc","When used on a Perfect, instantly Digivolves to Mastemon."
"2543","a77d017f","When used on an Ultimate, instantly Digivolves to Susanomon."
"2544","a77f3fd6","When used on an Ultimate, instantly Digivolves to Imperialdramon FM."
"2545","5428370c","When used on an Ultimate, instantly Digivolves to Imperialdramon FM."
