"seq","Hash","string"
"1387","2257c622","Correct again! Lookit the brainiac over here! Terriermon's
single horn plus Lopmon's three horns add up to four!"
"1401","581c3dd2","Anything's okay? In that case, we'll go join the city!"
"1413","4fbd8733","Garurumon should be in the Ohguino Wilderness."
"1467","5b02dcaf","AHH-WOO-WOO-WOOOOO! You're amazing, kid! Check it
out, this engraving right here is just DOPE, ain't it?!"
"1468","5802d7d6","S got a real, y'know, skull-y grey-y feel to it, yeah?
It's perfect, just perfect..."
"1481","8c72d37f","Oof, I surrender! Okay, here's one ring. What do you plan
to do with this, exactly?"
"1499","e26adbc1","Oh hey, you there! Come chat a bit, I gotta talk to ya!"
"1507","da6acf69","This mic takes a Digi-Battery, ya dig? There should be more
in Fault Ex Machina's Control Room! Thanks, baby!"
"1509","5a9a9502","You've just GOTTA bring a Digi-Battery for my mic, okay,
baby? It should be in Fault Ex Machina's Control Room!"
"1516","574a41bc","Aw yeah, it's perfect! Now I can practice all I like for the
recital!"
"1539","9f4020e2","...Jeez, I'm so sorry... This is all my fault... As a way of
apologizing...I'll go to the city..."
"1601","e186be3f","{0}, harbinger of peace for this world!
I am known as LordKnightmon, of the Royal Knights!"
"1613","f824154a","LordKnightmon joined the city!"
"1738","311b50b0","And were a good Ultimate Digimon such as I to make contact with
this pure evil, I fear the corruption might infect me..."
"1773","99ef3764","Hmph... I imagine you're itching to go on ahead, but if you
want to pass, you'll have to defeat the Digimon before you."
"1774","9cef3c3d","I bet you're thinking, ""it's just one opponent, what's the
big deal?"" ...Surprised? I can read your mind, buddy…"
"1830","39dd2985","HMM...I HAVE NOT SEEN YOUUU BEFORE...WHY ARE YOUUU HERE?"
"1832","33dd2073","I WAS BEATEN BY A DIFFERENT HUUUMAN FROM YOUUU, 
AND WOUUUND UP HERE."
"1833","32dd1e80","MAYBE THAT HUUUMAN IS FURTHER AHEAD IN THIS AREA. YOUUU
WOULD GO TO DEFEAT THEM, WOULDN'T YOUU."
"1834","35dd2359","IN THAT CASE...YOUUU AND I HAVE THE SAME GOAL. BUT DON'T
THINK I CAN TRUST WHAT YOUUU SAY JUST LIKE THAT..."
"1835","34dd21e6","IF WHAT YOUUU SAY IS TRUE...THEN I MUUUST TEST YOUUU FIRST
IN BATTLE!"
"1846","b63063bd","I FEEL SO REFRESHED AFTER FIGHTING YOUUU! MAYBE I'LL GO AND
CHECK OUUUT FLOATIA."
"1858","52d6ea02","That is Taomon's Taoist charm, is it not? Use it, and
boom..."
"1859","53d6ebf5","I cannot use it myself.
Sorry, I have something to do."
"1866","14a0ec37","C'mon, use that Taoist charm, just a little!"
"1887","92ee0939","First, let me name myself... I am SaintGargomon..."
"1889","94ee0c1f","That Digimon is RustTyranomon! I drove him off just before he
annihilated our world... He is destruction personified..."
"1901","6306f979","SaintGargomon joined the city!"
"1908","f9d6a3da","Thus, I must ask you...in order to refill my energy, would
you bring me a Large Double Disk?"
"1912","dc0fa5a3","In order to get enough energy to escape the Infinite
Cauldron, I need you to bring me a Large Double Disk!"
"1914","8bdaad6","You brought me a Large Double Disk?!"
"1915","7bda963","Here's a Large Double Disk for you!
I can't give you one yet..."
"1916","6bda7f0","You handed over one Large Double Disk!"
"1924","4ef98345","Oh, human child... Somehow I have appeared in this world..."
"1954","fcc15380","Bzz...zzz...zzzt... This noise in my electronic brain...
Damn that SaintGargomon..."
"2005","91ad742f","Damn... You are quite the fascinating Tamer... In this case,
I must request one final battle..."
"2022","bc287fa7","S true, he hasn't come play fer a while, but..."
"2050","a028735f","The explanation was interrupted, so it will restart.
(Moving to the point where the interruption occurred.)"
"2052","842a85c3","This area has an ingredient (Digishroom) and a material
(Metal). Now, try getting some ingredients and materials!"
"2103","966bdbbe","You enjoying yourself, {0}?
Let me have some fun, too!"
"2125","26490eb0","120 seconds restored!
All of your <icon>BIT</icon> were stolen!"
"2139","81dd5f1d","You got DigiHolywater, DigiDiamond, Blue Digizoit and
DigiGodwood x 3!"
"2162","63aa300d","I'm training here so I can beat you next time.
You'd better make yourself stronger! Take this."
"2163","63aa300c","Tamer experience increased by 2,000!"
"2164","63aa300f","I haven't trained enough to beat you yet.
But I will defeat you one day!"
"2165","63aa300e","Your Tamer level is maxed out.
Never mind. Take this instead."
"2166","63aa3009","You got 1,000 <icon>LUCK</icon>!"
"2173","85704d4b","You got Recovery Disk x 1!"
"2174","85704d4a","You got MP Disk x 1!"
"2176","85704d4c","You got Bandage x 1!"
"2178","d3a511cd","You got Recovery Disk x 1!"
"2179","d3a511cc","You got MP Disk x 1!"
"2181","d3a511ca","You got Bandage x 1!"
"2184","3e74b1f9","You got Recovery Disk x 1!"
"2185","3e74b1f8","You got MP Disk x 1!"
"2187","3e74b1fe","You got Bandage x 1!"
"2190","8bc46490","You got Recovery Disk x 1!"
"2191","8bc46491","You got MP Disk x 1!"
"2193","8bc46497","You got Bandage x 1!"
"2196","84c900ef","You got Recovery Disk x 1!"
"2197","84c900ee","You got MP Disk x 1!"
"2199","84c900e8","You got Bandage x 1!"
"2202","fe759b86","You got Recovery Disk x 1!"
"2203","fe759b87","You got MP Disk x 1!"
"2205","fe759b81","You got Bandage x 1!"
"2208","10a4056d","You got Recovery Disk x 1!"
"2209","10a4056c","You got MP Disk x 1!"
"2211","10a4056a","You got Bandage x 1!"
"2214","74040224","You got Recovery Disk x 1!"
"2215","74040225","You got MP Disk x 1!"
"2217","74040223","You got Bandage x 1!"
