"seq","Hash","string"
"288","dfa368e8","Normally that simply means we must address some issues that
seem innocuous, but this has spiraled beyond my predictions."
"304","57aae1b5","Yes, that test data was quite useful. An unexpected benefit
of Kouta and Himari's... episodes, perhaps."
"306","59aae49b","You're... welcome?"
"338","68c6a4a1","Is this... a barrier? There was nothing in my sources about
safeguards like this..."
"345","a1c16343","It's a pretty... unique program, so changing any bit of it
makes the effects fade right away."
"348","acc174f4","Well, I thought, maybe... What about Datamon?"
"352","a8c3ad3f","So you don't know where Datamon is?"
"371","fc19dc09","Ow! What's going... My... My head!"
"375","819ef2d","Ah... AaaAAAahhHHH!!!"
"380","fd179f05","Feh. This wasn't part of my calculations. Time to beat it
before things get any worse!"
"381","58982c25","OK, I think this should be good."
"387","52982293","I see. Which means the goal was probably keeping you quiet
and under control... And it's not hard to guess why."
"395","b1ce54f1","Wait, wasn't Mr. Mameo with you?"
"398","b2ce5664","Um... Since when exactly?"
"409","a3cc0010","Soooo... Mameo's a bad guy?"
"410","a4cc0183","Look, now you went and led this innocent kid astray."
"412","b2cc178d","Probably, huh? Well, he's guilty until proven innocent!"
"413","a3c9c1b9","*chuckle* That's right."
"416","a0c9bce0","It is I who-am grateful. {0} kindly res-cued me
from a dangerous sit-u-a-tion."
"420","a4c9c32c","Nah. MetalEtemon is an excellent fighter, but not the kind
of Digimon you'd call... ""brainy."""
"431","25c6bca8","And if it isn't, we'll need to fix it... and at the same
time, to protect it."
"432","26c6be1b","Yup. The enemy could be at Server Tower by now. We've got
to be ready to forestall them."
"442","2ed813d4","{0}, just take care, won't you? The enemy has
Ultimates fighting for them. No letting your guard down."
"445","e69db9ce","Aaahh! Not your partner too...
We have to stop them, but..."
"448","eb9dc1ed","Mwahahaha! It's over! No... It's just begun! I, Titamon, have
lit the fire that will forge a new world!"
"456","db9b6a26","An entity such as you would never understand. I... I am the
executioner of gods!"
"457","dc9b6b99","Wait! Stop that! If the equipment breaks, we can't transmit
the antivirus program!"
"460","e79b7cca","Oh, that's right... You had the antivirus program, {0}."
"466","dd992e95","Wait, was that... movement? Did you actually manage to
optimize the antivirus program?!"
"470","8e6792d5","Ngh... You're strong, I admit it. But I won't allow anything
to get in the way of my allies' plans... or mine!"
"471","8b678e1c","Is Titamon seriously gonna self-destruct?!"
"474","8a678ca9","Gah! Ngh... But... The BH Program update... Bwahaheheh...
My task is complete!"
"478","96679f4d","Then we might be able to get away!"
"481","9569dcb1","Phew! Well, we got away somehow... Was I always this slow?
Did I lose all my muscles studying for the entrance exams?"
"491","4623c49","No. There's... got to be another way."
"492","5623e3c","So we can't give up now... Gotta keep... keep on trying..."
"494","7624102","Let's go back... Go back and... figure out what to do...
together."
"505","eb9ec57d","We'll continue with our plan for the antivirus program...
Everyone, hurry with your information-gathering."
"573","6bcb4e5c","Hey! Did you find Datamon? Not that I think things will be that easy..."
