"seq","Hash","string"
"309","183be1f9","But... There are indications of an alien data wave that might
be caused by an altered form."
"319","9238d070","Rikka! Digivolved from Salamon to Gatomon!"
"349","edda1791","Ah! But now it's totally destroyed..."
"374","ebf556d1","But... you Digivolved..."
"375","eaf5557e","I'm sorry, Kouta..."
"378","72720c38","It was only a Child Digimon, but it turned into an Ultimate…
This must be the altered form."
"402","252e4b90","But we didn't save the village... If only we had done
a better job..."
"408","2f2e5b6e","Umm... There was this human in a knitted hat. Then it felt
like something was changing inside of me..."
"411","242c0b46","That's right! Luche said she saw a person wearing a knitted
hat, too!"
"421","3632e3a1","They were prizes for being in the top four in a Digital
Monster tournament when we were kids."
"436","293090b3","Could the shock of the Machinedramon attack have made you lose
your memory temporarily?"
"441","be3836e7","I think you're being overly optimistic. Finding Mameo
is going to be difficult."
"448","b7382be2","This is progress of a sort."
"449","ba35f1c4","So we all just have to wait until an abnormal data wave is
detected?"
"455","b835eefe","Sorry, but I'm out."
"461","2e3d6465","Heheh. I see you are comprehending the concept of going with
the flow. You're almost like a twig."
"465","35bff8b6","Are you surprised? Rikka Digivolved. But we can talk about that later."
"471","3bc001c8","OK."
"473","39c23d59","Kouta still seems upset. I think he feels responsible for what happened."
"482","42d70869","Seems like a big risk, but OK... I guess it'll make
things easier later."
"510","6bee2999","I see! So there's no way back to the real world for you."
"518","f9f5c4c8","No... I need to get home right away..."
"522","f6f5c00e","There's a curse?
You came here to the Digital World on your own?"
"524","f6f5c00c","You came here to the Digital World on your own?
What is that egg?"
"526","f6f5c00a","You came here to the Digital World on your own?"
"531","f6f38198","I thought I could do something about the curse, but..."
"535","faf387c4","Being able to use it is like a reward for saving the Digital World in the past."
"539","fae6bc31","The curse exists because I didn't defeat that man
when I had the chance..."
"541","f8e6b8eb","But I'm kind of out of my element here, and at somewhat
of a loss."
"544","fde6c08a","But setting that aside for a moment... Can you tell me what
you know about the situation?"
"547","f2e6af59","I think we've resolved a few things here, but the question
as to why the abnormalities are happening remains."
"551","f6e4772e","No! But it's serious!"
"553","f8e47a74","This is Mameo?! Wow... Tsuzuki, you've aged!"
"559","66ebe303","All I can tell you is it sounds like a false accusation. But
is now really the time? We're in a hurry."
"564","69ebe7dc","Whoa! That thing is huge!"
"575","fde8ff61","That Machinedramon... with a single blow?"
"587","7bdcf988","Sakura... Nazuna... I'm sorry..."
"644","752750b2","I've been to lots of places before! But this..."
"645","76275225","So many scared Digimon, all ""Gah!"" and ""oooh..."""
"646","73274d6c","So much scaredness and sadness..."
"655","1b73ded7","Rikka is Perfect now... Strong enough to defeat
Machinedramon... You don't have to worry about us!"
"656","78f966f","I'm going, too! Maybe it'll help me remember something."
"657","68f94fc","Staying behind is boring! I wanna go, too!"
"658","f506a4bb","I'll guard Floatia with my life! Don't you worry!"
"659","3f308d0","You have to plant a seed? I don't understand Taomon, but at
least you don't have to worry about guarding the city."
"662","f425061c","I'll do any training for Kouta!"
